query_id;dop;predicted_time;actual_time;predicted_memory;actual_memory;Execution Time Q-error;Memory Q-error;Time Prediction Latency (s);Memory Prediction Latency (s)
13;96;9295.123;6918.09;5375204.0;6706176;0.3435967220540641;0.24761329988592062;3.838539123535156e-05;5.817413330078125e-05
13;128;9673.26;7202.86;8652694.0;9218048;0.34297484133038836;0.06533849457752705;3.8623809814453125e-05;5.6743621826171875e-05
13;160;9966.832;11724.5;10669502.0;11301888;0.1763517197078277;0.059270432678113716;4.00543212890625e-05;5.435943603515625e-05
14;8;11864.4375;11365.6;1378208.0;1378304;0.043890115787991846;6.965566881045326e-05;4.649162292480469e-05;6.270408630371094e-05
14;16;8669.293;9281.45;1701744.0;1701888;0.0706121056765101;8.461907313916939e-05;4.00543212890625e-05;5.316734313964844e-05
14;32;8061.8906;6706.62;2417207.5;2417664;0.20207953111999788;0.0001888542874370902;3.719329833984375e-05;5.1021575927734375e-05
14;64;7848.6367;6473.53;4061762.5;4099072;0.21241991907815372;0.009185544452685157;3.719329833984375e-05;4.982948303222656e-05
14;96;8601.6;8336.95;5986264.0;5986304;0.03174417615254965;6.6819639092940974e-06;3.910064697265625e-05;9.1552734375e-05
14;128;10622.494;9378.69;8387451.0;8381440;0.13262024233928194;0.0007171798640805971;5.14984130859375e-05;6.4849853515625e-05
14;160;11939.021;11487.3;11309591.0;11322368;0.039323555959625;0.0011297490775750152;3.8623809814453125e-05;5.5789947509765625e-05
15;8;71238.516;74331.8;224837.0;226304;0.043421516406701555;0.00652472680208338;3.9577484130859375e-05;4.887580871582031e-05
15;16;71712.94;75054.3;227200.0;226304;0.046593580133291956;0.0039592760180995334;3.790855407714844e-05;4.744529724121094e-05
15;32;71777.98;73406.9;222444.0;226304;0.022693916929820812;0.017352682023340726;3.838539123535156e-05;4.696846008300781e-05
15;64;71549.63;71616.0;227466.0;226304;0.0009275685267864375;0.005134686085972895;3.933906555175781e-05;5.14984130859375e-05
15;96;73289.96;74925.2;226919.0;226304;0.02231191068439098;0.0027175834276018662;3.62396240234375e-05;4.8160552978515625e-05
15;128;71191.2;68810.5;225617.0;226304;0.03459796288357153;0.0030449833124277514;3.743171691894531e-05;4.5299530029296875e-05
15;160;73139.89;73404.6;226113.0;226304;0.0036192202741622825;0.0008447103881688012;4.00543212890625e-05;4.696846008300781e-05
16;8;14644.744;4688.47;11240010.0;1959936;2.1235657134683597;4.734886241183386;4.029273986816406e-05;6.937980651855469e-05
16;16;10580.338;2876.56;12735534.0;3939328;2.6781217463306866;2.232920437191318;5.030632019042969e-05;6.747245788574219e-05
16;32;8671.324;3248.91;13661024.0;7614464;1.6689948994431978;0.7940887237762237;4.029273986816406e-05;5.4836273193359375e-05
16;64;8194.346;2531.01;11314586.0;4575232;2.2375793470294463;1.47300814472359;3.910064697265625e-05;5.340576171875e-05
16;96;8608.791;3224.41;13489688.0;6730752;1.6698810063313911;1.0041873478624677;3.790855407714844e-05;4.9114227294921875e-05
16;128;9524.691;4385.79;16203386.0;10678272;1.171716248668997;0.5174164883606636;3.600120544433594e-05;4.673004150390625e-05
16;160;9990.305;4821.89;17602564.0;13550592;1.0718649092990504;0.299025459551878;5.1975250244140625e-05;5.2928924560546875e-05
17;8;88965.484;106701.0;4831483.5;15341568;0.1993527686562433;2.1753327937475104;3.719329833984375e-05;5.4836273193359375e-05
17;16;85190.914;72171.6;4856976.5;25609216;0.1803938677055794;4.272666235877402;3.719329833984375e-05;4.506111145019531e-05
17;32;88373.516;47586.8;4835073.5;36158464;0.8571014572318374;6.478369046509841;3.8623809814453125e-05;3.9577484130859375e-05
17;64;85838.19;34355.9;5645449.5;45862912;1.4984991660820994;7.123872510063194;3.5762786865234375e-05;3.409385681152344e-05
17;96;85034.49;33047.8;6462656.0;51748864;1.5730757323482951;7.007367868566732;4.4345855712890625e-05;3.4809112548828125e-05
17;128;92390.53;36893.9;9168739.0;56451072;1.504222412106066;5.156906854912109;3.6716461181640625e-05;3.552436828613281e-05
17;160;88408.96;44653.0;10804412.0;61206528;0.9799108892459634;4.664956871322567;4.506111145019531e-05;3.6716461181640625e-05
18;8;75984.17;89302.3;24000884.0;22435840;0.1752750315803846;0.06975642543359206;3.6716461181640625e-05;4.0531158447265625e-05
18;16;25395.166;46637.2;24763772.0;22571008;0.8364597408540395;0.0971495823314581;3.6716461181640625e-05;3.0994415283203125e-05
18;32;22232.137;29767.2;27851210.0;23708672;0.3389266347437998;0.1747266991588563;3.7670135498046875e-05;2.8371810913085938e-05
18;64;19068.758;24813.0;28573264.0;26779648;0.30123840493346243;0.06697683255582754;3.600120544433594e-05;2.6226043701171875e-05
18;96;19785.604;24698.6;30942866.0;27802624;0.24831168179909846;0.11294768436245439;3.600120544433594e-05;3.8623809814453125e-05
18;128;36757.04;42754.2;41257390.0;42009600;0.16315680181155767;0.018232078266120055;3.695487976074219e-05;2.86102294921875e-05
18;160;37345.23;39662.0;44768720.0;46539776;0.06203655733731894;0.039560121441935436;3.743171691894531e-05;2.09808349609375e-05
19;8;37882.29;36170.2;915298.0;911360;0.04733424372826267;0.004321014747191043;3.600120544433594e-05;6.29425048828125e-05
19;16;21286.344;19891.8;1237226.0;1243136;0.07010646346735849;0.004776815230200571;3.981590270996094e-05;5.555152893066406e-05
19;32;14698.318;15312.0;2049630.0;2057216;0.04175182667979005;0.0037011558183672744;3.8623809814453125e-05;6.651878356933594e-05
19;64;13661.986;13837.6;4064973.0;4067328;0.012854182961190341;0.0005793396413702467;4.029273986816406e-05;5.650520324707031e-05
19;96;13367.31;12892.2;6083902.5;6083584;0.03685248214521186;5.235400711156579e-05;3.838539123535156e-05;7.152557373046875e-05
19;128;14870.239;14531.4;9585051.0;9583616;0.02331772973096191;0.00014973471391166449;4.57763671875e-05;6.508827209472656e-05
19;160;17559.637;17231.8;12306914.0;12306432;0.019025100033078335;3.9166510650723296e-05;3.910064697265625e-05;5.340576171875e-05
20;8;22423.781;28126.4;13422977.0;9208832;0.25431120141702235;0.4576199240033916;3.8623809814453125e-05;6.723403930664062e-05
20;16;19979.852;15767.5;13442045.0;9899008;0.26715405501823364;0.3579183893982103;4.00543212890625e-05;5.53131103515625e-05
20;32;14306.865;10661.4;13617708.0;10376192;0.3419311942498171;0.31239938505378473;3.910064697265625e-05;5.316734313964844e-05
20;64;11583.234;10015.7;13906310.0;12646400;0.15650772037900484;0.09962598051619431;3.6716461181640625e-05;4.9114227294921875e-05
20;96;18066.744;19801.0;20296884.0;17060864;0.09599161010285973;0.1896750363873716;3.886222839355469e-05;5.316734313964844e-05
20;128;18394.594;21586.4;23108442.0;20203520;0.17351871388842177;0.14378296455271156;3.790855407714844e-05;6.985664367675781e-05
20;160;22691.729;28151.1;26303584.0;23436288;0.24058861274564447;0.12234428933455677;3.981590270996094e-05;5.1975250244140625e-05
21;8;103068.94;105791.0;46763970.0;46773248;0.02641011507468005;0.0001984433827342258;3.719329833984375e-05;5.2928924560546875e-05
21;16;58429.074;61596.9;47645390.0;47655936;0.05421660061547651;0.0002213015688903308;3.910064697265625e-05;6.437301635742188e-05
21;32;34114.223;31475.0;49334690.0;49342464;0.08385139495631444;0.0001576172935360276;4.1484832763671875e-05;4.863739013671875e-05
21;64;40008.72;45332.6;53780680.0;53789696;0.13306802657858174;0.00016764384533618504;3.933906555175781e-05;4.38690185546875e-05
21;96;38936.734;39715.9;56727944.0;56747008;0.020011067633352475;0.000336060125852633;5.364418029785156e-05;4.9114227294921875e-05
21;128;44996.145;49762.9;64876404.0;64876544;0.10593697567664861;2.157949444914209e-06;3.743171691894531e-05;4.673004150390625e-05
21;160;50021.797;51428.0;68900140.0;69030912;0.028111807508914177;0.0018979350754331215;4.0531158447265625e-05;4.4345855712890625e-05
22;8;40088.83;40336.0;575617.0;576512;0.0061656048969378485;0.0015548533139222442;3.790855407714844e-05;5.459785461425781e-05
22;16;35384.305;34892.6;883351.0;882688;0.01409194750462861;0.0007511147766821047;4.00543212890625e-05;6.556510925292969e-05
22;32;29159.338;29189.9;1512658.0;1513472;0.001048107110306784;0.000538125604069073;3.981590270996094e-05;5.269050598144531e-05
22;64;27329.281;29157.9;2888021.0;2889728;0.06691060526884507;0.0005910621841045405;3.600120544433594e-05;5.125999450683594e-05
22;96;28559.574;27750.8;4242723.0;4244480;0.029144176699410496;0.00041412083701897195;3.695487976074219e-05;5.030632019042969e-05
22;128;32524.07;29150.8;6110622.0;6148096;0.11571793269824493;0.006132599921906401;3.7670135498046875e-05;7.343292236328125e-05
22;160;31057.64;31626.3;7564038.0;7558144;0.018309806010900154;0.0007798210777671954;4.553794860839844e-05;5.7220458984375e-05
